Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,frameDiff,userLevel,preTrialOffset,preLevelOffset,,
1,2.2E-06,0.6396694,1.077958,-0.3497282,-0.2865115,0.652105,0.3083206,0.6305621,0,2,5,5,,0.42222
1,0.4222222,0.6389156,1.077537,-0.3415211,-0.2855168,0.6479803,0.3065062,0.6361254,0,2,5,5,,
1,0.4333333,0.6382149,1.077094,-0.3335702,-0.2848561,0.6436493,0.304514,0.6417506,0,2,5,5,,
1,0.4444444,0.6371925,1.076728,-0.3251351,-0.2835696,0.6388984,0.3038046,0.6473793,0,2,5,5,,
1,0.4555556,0.6362033,1.076461,-0.3167119,-0.2829744,0.6340097,0.3037394,0.6524567,0,2,5,5,,
1,0.4666667,0.6352306,1.076058,-0.3080345,-0.2831654,0.628416,0.3043742,0.6574702,0,2,5,5,,
1,0.4777778,0.6339851,1.075807,-0.2993819,-0.283801,0.6228617,0.3043668,0.662466,0,2,5,5,,
1,0.4888889,0.6328138,1.075501,-0.2904869,-0.2844051,0.6170294,0.304987,0.6673616,0,2,5,5,,
1,0.5,0.6309578,1.075507,-0.281468,-0.2845357,0.6111476,0.304838,0.6727644,0,2,5,5,,
1,0.5111111,0.6296293,1.075332,-0.2729753,-0.2852969,0.6050951,0.3044193,0.6780816,0,2,5,5,,
1,0.5222223,0.6280899,1.075221,-0.2641575,0.2860638,-0.5988979,-0.3038087,-0.6835124,0,2,5,5,,
1,0.5333334,0.6261779,1.0753,-0.2555064,0.2864392,-0.5931442,-0.3029734,-0.6887233,0,2,5,5,,
1,0.5444446,0.6244462,1.07531,-0.2467538,0.2864197,-0.5877079,-0.301849,-0.6938663,0,2,5,5,,
1,0.5555557,0.6216756,1.075854,-0.2378138,0.2869627,-0.5816474,-0.3004579,-0.699331,0,2,5,5,,
1,0.5666668,0.6197433,1.075911,-0.2291968,0.2887565,-0.5746325,-0.2987021,-0.7051201,0,2,5,5,,
1,0.577778,0.617503,1.076122,-0.2204962,0.290746,-0.5677408,-0.2975286,-0.7103619,0,2,5,5,,
